City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Lompoc,US,2021-08-13 01:21:27,34.6391,-120.4579,90.01,82,1,16.11
143,Hermanus,ZA,2021-08-13 01:22:48,-34.4187,19.2345,51.91,77,12,9.69
144,Kalas,IN,2021-08-13 01:22:49,18.1667,74.8,73.24,80,100,8.77
145,Champerico,GT,2021-08-13 01:22:49,14.3,-91.9167,83.35,73,31,2.93
146,Axim,GH,2021-08-13 01:22:50,4.8699,-2.2405,75.92,83,100,9.01
147,Wuxue,CN,2021-08-13 01:22:50,29.8506,115.5525,77.14,99,100,3.11
148,Lebu,CL,2021-08-13 01:22:50,-37.6167,-73.65,46.98,81,0,2.8
149,Villarrubia De Los Ojos,ES,2021-08-13 01:19:11,39.2209,-3.608,81.99,21,0,4.74
150,Thinadhoo,MV,2021-08-13 01:22:51,0.5333,72.9333,81.52,75,100,16.24
151,Tateyama,JP,2021-08-13 01:22:51,34.9833,139.8667,75.47,85,100,19.53
152,Port Hardy,CA,2021-08-13 01:22:52,50.6996,-127.4199,71.78,64,20,6.91
153,Lithgow,AU,2021-08-13 01:22:52,-33.4833,150.15,56.86,40,0,5.97
154,Nantucket,US,2021-08-13 01:20:37,41.2835,-70.0995,79.97,91,1,10.36
155,Half Moon Bay,US,2021-08-13 01:22:52,37.4636,-122.4286,87.15,73,75,1.99
156,Nikolskoye,RU,2021-08-13 01:22:53,59.7035,30.7861,64.29,95,100,14.81
157,Hofn,IS,2021-08-13 01:21:34,64.2539,-15.2082,53.58,85,100,13.58
158,Stantsionno-Oyashinskiy,RU,2021-08-13 01:22:53,55.4664,83.8245,50.63,92,100,10.33
159,Ust-Ishim,RU,2021-08-13 01:22:54,57.6935,71.1665,49.44,83,78,4.47
160,Saint George,US,2021-08-13 01:22:54,37.1041,-113.5841,100.99,19,1,3.0
161,Santiago,CL,2021-08-13 01:19:37,-33.4569,-70.6483,41.95,62,0,6.91
162,Isangel,VU,2021-08-13 01:22:55,-19.55,169.2667,78.91,53,40,12.66
163,Irbil,IQ,2021-08-13 01:21:17,36.1926,44.0106,91.94,18,86,5.08
164,Sarmanovo,RU,2021-08-13 01:22:55,55.2553,52.5891,65.08,40,3,7.38
165,Coquimbo,CL,2021-08-13 01:22:56,-29.9533,-71.3436,49.73,81,40,2.3
166,Sobolevo,RU,2021-08-13 01:22:56,54.4299,31.8996,55.71,94,99,9.08
167,Thompson,CA,2021-08-13 01:22:56,55.7435,-97.8558,51.96,66,90,11.5
168,Raufoss,NO,2021-08-13 01:22:57,60.7264,10.6172,59.45,99,100,1.48
169,Katherine,AU,2021-08-13 01:22:57,-14.4667,132.2667,82.72,24,0,11.5
170,Awbari,LY,2021-08-13 01:22:57,26.5921,12.7805,87.12,12,1,6.38
171,Kitale,KE,2021-08-13 01:22:58,1.0157,35.0062,52.56,92,55,1.36
172,Tingi,TZ,2021-08-13 01:22:58,-11.3,35.0333,56.03,69,0,3.53
173,Acarau,BR,2021-08-13 01:22:58,-2.8856,-40.12,79.12,81,7,16.24
174,Dikson,RU,2021-08-13 01:22:59,73.5069,80.5464,44.83,100,100,11.16
175,Talnakh,RU,2021-08-13 01:22:59,69.4865,88.3972,49.03,69,18,6.53
176,Qaqortoq,GL,2021-08-13 01:23:00,60.7167,-46.0333,48.7,85,100,3.78
177,Bairiki,KI,2021-08-13 01:23:00,1.3292,172.9752,84.2,79,20,8.05
178,Rusera,IN,2021-08-13 01:23:00,25.75,86.0333,81.39,87,100,0.89
179,Ribeira Grande,PT,2021-08-13 01:23:01,38.5167,-28.7,73.54,85,18,25.86
180,Imbituba,BR,2021-08-13 01:21:15,-28.24,-48.6703,57.09,91,100,8.14
181,Tura,IN,2021-08-13 01:23:01,25.5198,90.2201,75.0,97,100,6.91
182,Itaberai,BR,2021-08-13 01:23:02,-16.0203,-49.8103,72.27,30,70,4.12
183,Matara,LK,2021-08-13 01:23:02,5.9485,80.5353,78.91,84,100,12.91
184,Lorengau,PG,2021-08-13 01:23:02,-2.0226,147.2712,81.46,78,100,5.48
185,Ahipara,NZ,2021-08-13 01:23:03,-35.1667,173.1667,56.53,90,100,14.56
186,Macapa,BR,2021-08-13 01:23:03,0.0389,-51.0664,78.78,94,75,4.61
187,Rocha,UY,2021-08-13 01:23:04,-34.4833,-54.3333,39.69,93,0,3.15
188,Honolulu,US,2021-08-13 01:20:10,21.3069,-157.8583,91.22,57,20,1.99
189,Shuangcheng,CN,2021-08-13 01:23:04,45.35,126.2833,67.68,96,100,4.74
190,Rawah,IQ,2021-08-13 01:23:04,34.4816,41.9093,90.57,23,0,5.99
191,Zalantun,CN,2021-08-13 01:23:05,48.0,122.7167,58.55,92,100,6.69
192,Carnarvon,AU,2021-08-13 01:23:05,-24.8667,113.6333,59.07,28,0,3.44
193,Green Valley,US,2021-08-13 01:23:05,31.8543,-110.9937,91.0,66,99,8.23
194,Longyearbyen,SJ,2021-08-13 01:23:06,78.2186,15.6401,42.64,93,90,10.36
195,Santa Fe,AR,2021-08-13 01:20:46,-31.6333,-60.7,52.0,66,4,1.99
196,Laguna,US,2021-08-13 01:23:06,38.421,-121.4238,98.64,35,1,3.0
197,Iwanai,JP,2021-08-13 01:23:07,42.9744,140.5089,71.78,54,36,2.64
198,Fairlie,GB,2021-08-13 01:23:07,55.756,-4.8556,57.42,84,97,7.0
199,Inuvik,CA,2021-08-13 01:21:00,68.3499,-133.7218,52.56,100,90,8.05
200,Puerto Madryn,AR,2021-08-13 01:20:53,-42.7692,-65.0385,55.56,34,0,18.14
201,Dzerzhinsk,RU,2021-08-13 01:23:08,56.2389,43.4631,66.02,94,0,2.24
202,Nouadhibou,MR,2021-08-13 01:23:08,20.931,-17.0347,71.58,78,5,20.71
203,Sur,OM,2021-08-13 01:23:08,22.5667,59.5289,86.5,61,89,5.08
204,Caravelas,BR,2021-08-13 01:23:09,-17.7125,-39.2481,69.48,88,35,4.9
205,Tazovskiy,RU,2021-08-13 01:23:09,67.4667,78.7,56.07,72,100,6.24
206,Raga,SS,2021-08-13 01:23:09,8.4596,25.678,67.78,98,82,3.96
207,Cherskiy,RU,2021-08-13 01:23:10,68.75,161.3,58.91,68,100,8.57
208,Wisconsin Rapids,US,2021-08-13 01:21:23,44.3836,-89.8174,74.43,72,1,6.91
209,Ancud,CL,2021-08-13 01:23:11,-41.8697,-73.8203,38.73,89,0,3.11
210,Gornopravdinsk,RU,2021-08-13 01:23:11,60.05,69.9,53.87,77,91,3.44
211,Salinas,US,2021-08-13 01:23:11,36.6777,-121.6555,93.56,68,1,5.75
212,Coihaique,CL,2021-08-13 01:23:12,-45.5752,-72.0662,40.87,97,66,6.55
213,Lakatoro,VU,2021-08-13 01:23:12,-16.0999,167.4164,78.15,70,49,17.58
214,Coueron,FR,2021-08-13 01:23:13,47.2151,-1.7217,62.28,92,0,3.44
215,Floro,NO,2021-08-13 01:23:13,61.5996,5.0328,58.96,82,40,13.8
